"Type","Code","Name","LEI code","Address"
"AIFM REG","A00004217","FREO REAL ESTATE INVESTMENTS GP S.À R.L.","","6B, route de Trèves L-2633 Senningerberg"
"AIFM REG","A00003515","PATRON S.A.","984500A6FC0D87CAED70","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00004168","ELITE REAL ESTATE GP S.À R.L.","","18, rue de l'Eau L-1449 Luxembourg"
"AIFM REG","A00001196","BNP PARIBAS GENERAL PARTNER CHINA GROWTH V S.À R.L.","984500AA0T87BDF13885","60, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM REG","A00000182","CMP GERMAN OPPORTUNITY","","6, Rue Eugène Ruppert L-2453 Luxembourg"
"AIFM REG","A00002286","SANGUINE GLOBAL ASSET MANAGEMENT","2221006IJEZMGKNINS57","3, Boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00002477","NATION 1 GP S.À R.L.","","1A, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00002841","ARTIFICIAL INTELLIGENCE ASSET MANAGEMENT","222100NS8VQIP79CT438","54, rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00002264","ODYSSEUS INVESTMENTS GP S.À R.L.","","8-10, Avenue de la Gare L-1610 Luxembourg"
"AIFM REG","A00002467","FRC FUND MANAGEMENT S.À R.L.","","106, Route d'Arlon L-8210 Mamer"
"AIFM REG","A00002575","LUXIS CAPITAL","222100Q6AKIUHWH9I575","54, rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00003612","NATION 1 GP II S.À R.L.","","1A, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00000756","TRILANTIC CAPITAL PARTNERS V (EUROPE) GP S.A R.L.","","44, Boulevard Grande-Duchesse Charlotte L-1330 Luxembourg"
"AIFM REG","A00003032","OWL INCLUSIVE","222100X1YHTGUQ31B113","54 rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00003831","ACQUINOX CAPITAL","2138005EJQPZZP2AT886","1, Haaptstrooss L-6869 Wecker"
