"Type","Code","Name","LEI code","Address"
"AIFM AUT","A00003205","EMERALD MANAGEMENTS LUXEMBOURG S.À R.L.","984500N2AEC9A9BE5D63","22, avenue Monterey L-2163 Luxembourg"
"AIFM AUT","A00003285","6 MONKS (6M)","9845004FEND5FJABCE93","1A, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00003321","ENERGY INFRASTRUCTURE PARTNERS LUXEMBOURG S.À R.L.","549300AIHRWZ3MJFJF08","6, boulevard des Lumières L-4369 Belvaux"
"AIFM AUT","A00003362","CVC EUROPE FUND MANAGEMENT S.À R.L.","254900CF0DT9OFH13L92","29, avenue de la Porte-Neuve L-2227 Luxembourg"
"AIFM AUT","A00003421","ACTIS EU MANAGEMENT S.ÀR.L.","2138008W48I34B3P5E78","29, avenue de la Porte Neuve L-2227 Luxembourg"
"AIFM AUT","A00003498","APAX MANAGEMENT LUXEMBOURG S.A R.L.","984500DCCA04CEA7F023","1-3, boulevard de la Foire L-1528 Luxembourg"
"AIFM AUT","A00003522","OAKLEY CAPITAL MANAGER S.À R.L.","213800PLOX7ZIVZUHY85","26A, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00003046","LEXINGTON PARTNERS LUXEMBOURG S.À R.L.","894500N0J5DY1L3CEJ05","2, place de Paris L-2314 Luxembourg"
"AIFM AUT","A00003530","BC PARTNERS MANAGEMENT S.À R.L.","213800ITEMKHMJV1H570","18, rue Erasme L-1468 Luxembourg"
"AIFM AUT","A00003604","BLACKROCK (LUXEMBOURG) S.A.","549300M5A8STIRLYM684","35A, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00003619","BRIDGEPOINT FUND MANAGEMENT S.À R.L.","213800358OIR96GLD265","6B, rue du Fort Niedergrunewald L-2226 Luxembourg"
"AIFM AUT","A00003662","ETHENEA INDEPENDENT INVESTORS S.A.","","16, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM AUT","A00003685","CERBERUS CAPITAL LUXEMBOURG S.À R.L.","254900HV4ZDX392MAN27","13, rue Edward Steichen L-2540 Luxembourg"
"AIFM AUT","A00003813","ALLSPRING GLOBAL INVESTMENTS LUXEMBOURG S.A.","","33, rue de Gasperich, Bâtiment H2O, 2ème étage L-5826 Hesperange"
"AIFM AUT","A00003848","AZTEC AIFM SERVICES S.A.","894500C2TB4UWIRYQ387","8, rue Lou Hemmer L-1748 Senningerberg"
"AIFM AUT","A00003909","ANTWORT CAPITAL S.A.","391200STN81IB4UX3O24","13, rue Aldringen L-1118 Luxembourg"
"AIFM AUT","A00000532","CRESVIA CAPITAL FUND MANAGEMENT","254900332EILIRR41915","2, rue Jean Monnet L-2180 Luxembourg"
"AIFM AUT","A00003655","OPPORTUNITY FUND MANAGEMENT","","16, rue Robert Stumper L-2557 Luxembourg"
"AIFM AUT","A00000410","EDMOND DE ROTHSCHILD ASSET MANAGEMENT (LUXEMBOURG)","549300FVF03QWKL2FX65","4, rue Robert Stumper L-2557 Luxembourg"
"AIFM AUT","A00000754","UBP ASSET MANAGEMENT (EUROPE) S.A.","5493007WR9BT7NBDHF50","8-10 Rue Henri M. Schnadt L-2530 Luxembourg"
"AIFM AUT","A00003222","FUNDCRAFT MANAGEMENT S.À R.L.","894500BGYB1A5CJCDY08","12, rue des Mérovingiens L-8070 Bertrange"
"AIFM AUT","A00003932","THREE HILLS FUND MANAGEMENT S.À R.L.","213800EA31JVN29JLL30","42, rue de la Vallée L-2661 Luxembourg"
"AIFM AUT","A00003943","VAULT AM S.A R.L.","9845004BA9O46ADAD636","2, rue Ste Zithe L-2763 Luxembourg"
"AIFM AUT","A00001157","CORESTATE CAPITAL FUND MANAGEMENT S.À R.L.","529900WKA35TIDMGIJ87","9-11, Grand Rue L-1661 Luxembourg"
"AIFM AUT","A00000127","SWANCAP INVESTMENT MANAGEMENT S.A.","254900AHV3HIR4K42185","5, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00002144","AERMONT CAPITAL MANAGEMENT S.A R.L.","213800FYUOKTKIU4Z729","28, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00003694","BLUEGEM CAPITAL (LUXEMBOURG) S.À R.L.","213800P2255TKSJPW473","4-6, rue de la Boucherie L-1247 Luxembourg"
"AIFM AUT","A00000517","CASTIK CAPITAL S.À R.L.","213800Z7FIS9KW5Z8F71","1, route d'Esch L-1470 Luxembourg"
"AIFM AUT","A00000542","ROYALTON PARTNERS","213800C79PBC2OU53228","22-24, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00000541","BLUE COLIBRI CAPITAL","529900QSABDPK0M52G98","29, avenue Monterey L-2163 Luxembourg"
